["PR NAME":"Create a dedicated upgrade command","CREATED ON":"Jul 21, 2023","AUTHOR":"stnguyen90"
"PR NAME":"Add support for queries in List attributes endpoint","CREATED ON":"Jul 20, 2023","AUTHOR":"fanatic75"
"PR NAME":"change to use findOne instead of iterating index array","CREATED ON":"Jul 19, 2023","AUTHOR":"fanatic75"
"PR NAME":"Appwrite 1.4.0","CREATED ON":"Jul 19, 2023","AUTHOR":"eldadfux"
"PR NAME":"feat: router gen. 2","CREATED ON":"Jul 18, 2023","AUTHOR":"TorstenDittmann"
"PR NAME":"Bump clamav to get it working again","CREATED ON":"Jul 17, 2023","AUTHOR":"stnguyen90"
"PR NAME":"feat: add support for migrations","CREATED ON":"Jul 17, 2023","AUTHOR":"christyjacob4"
"PR NAME":"Add support for migrations","CREATED ON":"Jul 17, 2023","AUTHOR":"christyjacob4"
"PR NAME":"Adding the ability to change Appwrite hard limit","CREATED ON":"Jul 17, 2023","AUTHOR":"byawitz"
"PR NAME":"Fix 5404 update doc without relation permission","CREATED ON":"Jul 13, 2023","AUTHOR":"fanatic75"
"PR NAME":"Fix cache delete","CREATED ON":"Jul 13, 2023","AUTHOR":"shimonewman"
"PR NAME":"Add APIs to atomically increment/decrement numeric attributes","CREATED ON":"Jul 11, 2023","AUTHOR":"stnguyen90"
"PR NAME":"Update method name for updateMembershipRoles","CREATED ON":"Jul 11, 2023","AUTHOR":"lohanidamodar"
"PR NAME":"feat: SSR","CREATED ON":"Jul 6, 2023","AUTHOR":"loks0n"
"PR NAME":"fix doc comment for filter method","CREATED ON":"Jul 5, 2023","AUTHOR":"lohanidamodar"
"PR NAME":"Refactor workers","CREATED ON":"Jul 4, 2023","AUTHOR":"shimonewman"
"PR NAME":"Refactor init Files","CREATED ON":"Jul 4, 2023","AUTHOR":"lohanidamodar"
"PR NAME":"Fix small typo in docs","CREATED ON":"Jun 29, 2023","AUTHOR":"mendelgordon"
"PR NAME":"Audit Appwrite's generic error messages","CREATED ON":"Jun 22, 2023","AUTHOR":"gewenyu99"
"PR NAME":"update Flutter - Dart SDK","CREATED ON":"Jun 21, 2023","AUTHOR":"lohanidamodar"
"PR NAME":"Feat:  Whitelist enums","CREATED ON":"Jun 19, 2023","AUTHOR":"2002Bishwajeet"
"PR NAME":"Feat: Functions G4","CREATED ON":"Jun 19, 2023","AUTHOR":"Meldiron"
"PR NAME":"fix: abuse label for creating phone session","CREATED ON":"Jun 16, 2023","AUTHOR":"TorstenDittmann"
"PR NAME":"Incomplete Example, generate error: TypeError: file.stream.pipe is no…","CREATED ON":"Jun 15, 2023","AUTHOR":"Jhongt796"
"PR NAME":"Update delete session description to be actually correct","CREATED ON":"Jun 14, 2023","AUTHOR":"gewenyu99"
"PR NAME":"Add support for multiple events per endpoint","CREATED ON":"Jun 14, 2023","AUTHOR":"stnguyen90"
"PR NAME":"cache save refactor","CREATED ON":"Jun 13, 2023","AUTHOR":"shimonewman"
"PR NAME":"Fix cache delete bug master","CREATED ON":"Jun 13, 2023","AUTHOR":"shimonewman"
"PR NAME":"Feat: Client error logging","CREATED ON":"Jun 13, 2023","AUTHOR":"Meldiron"
"PR NAME":"Added missing word to portuguese email template","CREATED ON":"Jun 12, 2023","AUTHOR":"Miguelii"
"PR NAME":"Feat: Mulitple Events Execution","CREATED ON":"Jun 5, 2023","AUTHOR":"PineappleIOnic"
"PR NAME":"Refactor collections config","CREATED ON":"Jun 1, 2023","AUTHOR":"lohanidamodar"
"PR NAME":"Refactor cache poc","CREATED ON":"May 31, 2023","AUTHOR":"shimonewman"
"PR NAME":"feat: add encrypt param to string attribute","CREATED ON":"May 30, 2023","AUTHOR":"2002Bishwajeet"
"PR NAME":"remove required password for project deletion","CREATED ON":"May 25, 2023","AUTHOR":"lohanidamodar"
"PR NAME":"project delete group","CREATED ON":"May 23, 2023","AUTHOR":"lohanidamodar"
"PR NAME":"Feat relationship metadata","CREATED ON":"May 19, 2023","AUTHOR":"stnguyen90"
"PR NAME":"Separate OAuth2 data out of Sessions and into User Identities","CREATED ON":"May 18, 2023","AUTHOR":"stnguyen90"
"PR NAME":"Validate value of x-appwrite-id header","CREATED ON":"May 17, 2023","AUTHOR":"Suven-p"
"PR NAME":"Updated and renamed 10k-common-passwords to 100k-common-passwords","CREATED ON":"May 15, 2023","AUTHOR":"sm-raiyyan"
"PR NAME":"[FIX] #5506 fixed by increasing the offset from 5000 to 1000000 for li…","CREATED ON":"May 5, 2023","AUTHOR":"deepam-kapur"
"PR NAME":"Feat: Added minSize for String Attribute","CREATED ON":"May 4, 2023","AUTHOR":"singhbhaskar"
"PR NAME":"docs(environment-variables): Update functions documentation","CREATED ON":"May 4, 2023","AUTHOR":"Shiva953"
"PR NAME":"fix : Improper filter in Create user","CREATED ON":"May 2, 2023","AUTHOR":"Shiva953"
"PR NAME":"Add Appwrite Cloud to read me.","CREATED ON":"Apr 27, 2023","AUTHOR":"gewenyu99"
"PR NAME":"Implement Migrations API","CREATED ON":"Apr 27, 2023","AUTHOR":"PineappleIOnic"
"PR NAME":"Docs: Create document and unknown attribute error messages.","CREATED ON":"Apr 24, 2023","AUTHOR":"gewenyu99"
"PR NAME":"Add Shared Cookies for Cloud","CREATED ON":"Apr 21, 2023","AUTHOR":"PineappleIOnic"
"PR NAME":"Fix link on doc","CREATED ON":"Apr 20, 2023","AUTHOR":"fliitor"
"PR NAME":"Feat registrar","CREATED ON":"Apr 18, 2023","AUTHOR":"wess"
"PR NAME":"Update container images","CREATED ON":"Apr 17, 2023","AUTHOR":"Emiliaaah"
"PR NAME":"Usage migration","CREATED ON":"Apr 17, 2023","AUTHOR":"shimonewman"
"PR NAME":"Feat: CA certificates","CREATED ON":"Apr 16, 2023","AUTHOR":"Meldiron"
"PR NAME":"Disallow personal data","CREATED ON":"Apr 13, 2023","AUTHOR":"christyjacob4"
"PR NAME":"Updated doc with correct endpoints","CREATED ON":"Apr 10, 2023","AUTHOR":"x0samnan"
"PR NAME":"Added Documentation change on static files","CREATED ON":"Apr 8, 2023","AUTHOR":"pranjalg13"
